Id	Name	Formula	EC
R09032	primary fluorescent chlorophyll catabolite:NADP+ oxidoreductase	C18098 + C00006 <=> C18022 + C00005 + C00080	1.3.1.80
R09031	D-allulose-6-phosphate 3-epimerase	C18096 <=> C05345	5.1.3.-
R09030	D-allose-6-phosphate aldose-ketose-isomerase	C02962 <=> C18096	5.3.1.6
R05279		C06335 + C00007 + 2 C00080 <=> C06674 + C00014	1.14.12.-
R05278		C06674 + C00007 <=> C06675	1.13.11.-
R09035	acyl-CoA:1-acyl-sn-glycero-3-phosphoserine O-acyltransferase	C00040 + C18125 <=> C00010 + C02737	2.3.1.-
R09034	acyl-CoA:1-acyl-sn-glycero-3-phosphoinositol O-acyltransferase	C00040 + C03819 <=> C00010 + C01194	2.3.1.-
R07529	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	C15887 + C00019 <=> C15888 + C00021	2.1.1.210
R07528	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)	C15886 + C00001 <=> C15887	4.2.1.131
R08618	L-methionine:2-oxo-acid aminotransferase	C00073 + C00161 <=> C01180 + C00151	2.6.1.88        2.6.1.-
R08619	acetyl-CoA:4-methylthio-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	C01180 + C00024 + C00001 <=> C17210 + C00010	2.3.3.-
R07523	1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase	C15878 <=> C15879	1.3.99.27
R07522	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)	C15877 + C00001 <=> C15878	4.2.1.131
R07521	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	C15874 + C00019 <=> C15877 + C00021	2.1.1.210
R07520	1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase	C19795 + C00028 <=> C15874 + C00030	1.3.99.27
R07527	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	C19795 + C00019 <=> C15886 + C00021	2.1.1.210
R07526	spirilloxanthin,reduced-ferredoxin:oxygen oxidoreductase (spirilloxanthin-2-one-forming)	C15884 + C00007 + C00138 <=> C15885 + C00001 + C00139	1.14.15.9
R07525	spirilloxanthin,reduced-ferredoxin:oxygen oxidoreductase (spirilloxanthin-2-one-forming)	C15881 + C00007 + C00138 <=> C15884 + C00001 + C00139	1.14.15.9       1.-.-.-
R07524	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	C15879 + C00019 <=> C15881 + C00021	2.1.1.210
R03998	anthranilyl-CoA,NADH:oxygen oxidoreductase (de-aromatizing)	C02247 + C00007 + 2 C00004 + 2 C00080 <=> C05165 + C00001 + 2 C00003	1.14.13.40
R03999	anthranilyl-CoA,NADH:oxygen oxidoreductase (de-aromatizing)	C02247 + C00007 + 2 C00005 + 2 C00080 <=> C05165 + C00001 + 2 C00006	1.14.13.40
R03996	UDPglucose:alpha-D-(1,3)-glucan 3-alpha-D-glucosyltransferase	C00029 + C02616 <=> C00015 + C02616	2.4.1.183
R03997	2,4-dichlorophenol,NADPH:oxygen oxidoreductase(6-hydroxylating)	C02625 + C00007 + C00005 + C00080 <=> C02933 + C00006 + C00001	1.14.13.20
R03994	(E,E)-Piperoyl-CoA:piperidine N-piperoyltransferase	C02611 + C01746 <=> C00010 + C03882	2.3.1.145
R03995		C02612 + C00011 <=> C06033 + C00001	
R03992	Tetradecanoyl-CoA:glycylpeptide N-tetradecanoyltransferase	C02593 + C02038 <=> C00010 + C03881	2.3.1.97
R03993	[Pyruvate kinase] phosphate phosphohydrolase	C03808 + C00001 <=> C02601 + C00009	3.1.3.49
R03990	tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	C02593 + C00016 <=> C05273 + C01352	1.3.3.6         1.3.8.7         1.3.8.8         1.3.8.9
R03991	myristoyl-CoA:acetylCoA C-myristoyltransferase	C02593 + C00024 <=> C00010 + C05259	2.3.1.16        2.3.1.155
R10826	very-long-chain-(3R)-3-hydroxyacyl-CoA:NADP+ oxidoreductase	C20878 + C00006 <=> C20877 + C00005 + C00080	1.1.1.330
R09483	malonate carboxy-lyase (biotin-independent/biotin-dependent)	C00383 <=> C00033 + C00011	4.1.1.88        4.1.1.89
R09480	alcohol:azurin oxidoreductase	C00226 + 2 C05357 <=> C00071 + 2 C05358 + 2 C00080	1.1.9.1
R03197	Uroporphyrinogen-III carboxy-lyase	C01051 <=> C03263 + 4 C00011	4.1.1.37
R03194	S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	2 C00019 + C01051 <=> 2 C00021 + C02463	2.1.1.107
R03195		C01051 + C00028 <=> C02469 + 6 C00080 + C00030	
R03192	UDP-N-acetylmuramate:NADP+ oxidoreductase	C01050 + C00006 <=> C04631 + C00005 + C00080	1.3.1.98
R03193	UDP-N-acetylmuramate:L-alanine ligase (ADP-forming)	C00002 + C01050 + C00041 <=> C00008 + C00009 + C01212	6.3.2.8
R03190	UDPglucose:phosphopolyprenol D-glucosyltransferase	C00029 + C01048 <=> C00015 + C03799	2.4.1.78
R03191	UDP-N-acetylmuramate:NADP+ oxidoreductase	C01050 + C00003 <=> C04631 + C00004 + C00080	1.3.1.98
R09486	oxalate:ferredoxin oxidoreductase	C00209 + 2 C00139 <=> 2 C00011 + 2 C00138 + 2 C00080	1.2.7.10
R09228		C18314 + C00003 <=> C03223 + C00004 + C00080	1.3.1.-
R10649	tRNA (N6-L-threonylcarbamoyladenosine37):sulfur-donor,S-adenosyl-L-methionine C2-methylthiotransferase	C20751 + C17023 + 2 C00019 <=> C20752 + C00021 + C00073 + C05198	2.8.4.5
R03198	(R)-4-dehydropantoate:NAD+ 4-oxidoreductase	C01053 + C00003 + C00001 <=> C01088 + C00004 + C00080	1.2.1.33
R03199	(S)-2,3-Epoxysqualene mutase (cyclizing, lanosterol-forming)	C01054 <=> C01724	5.4.99.7
R10862	3,6-anhydro-alpha-L-galactopyranose:NADP+ 1-oxidoredutase	C20902 + C00006 + C00001 <=> C20903 + C00005 + C00080	1.2.1.92
R02829	nitrile,NADPH:oxygen oxidoreductase	C00726 + C00007 + C00005 + C00080 <=> C05712 + C00006 + C00001	1.14.13.-
R02828	Monocarboxylic acid amide hydro-lyase	C03620 <=> C00726 + C00001	4.2.1.84
R10863		C06041 <=> C20898	
R02825	5-Aminopentanoate:lipoate oxidoreductase (cyclizing)	C00431 + C00725 <=> C00763 + C02147	1.4.1.12        1.21.4.1
R02824	glutathione:insulin oxidoreductase	C00723 + 2 C00051 <=> C02288 + C00127	1.8.4.2
R02827	Acetaldehyde oxime hydro-lyase	C02658 <=> C00726 + C00001	4.99.1.5
R02826	Aliphatic amide hydro-lyase	C02244 <=> C00726 + C00001	4.2.1.84
R02821	Trimethylaminoacetate:L-homosysteine S-methyltransferase	C00719 + C00155 <=> C01026 + C00073	2.1.1.5
R02820	Alditol:NADP+ 1-oxidoreductase	C00717 + C00006 <=> C01370 + C00005 + C00080	1.1.1.21
R02823	Alkene,NADH:oxygen oxidoreductase (hydroxylating)	C01372 + C00007 + C00004 + C00080 <=> C00722 + C00003 + C00001	1.14.13.25
R02822	epoxide hydrolase	C00722 + C00001 <=> C15588	3.3.2.10
R10861	3,6-anhydro-alpha-L-galactopyranose:NAD+ 1-oxidoredutase	C20902 + C00003 + C00001 <=> C20903 + C00004 + C00080	1.2.1.92
R10824	S-adenosyl-L-methionine:3'-hydroxyflavone 3'-O-methyltransferase	C00019 + C20871 <=> C00021 + C20872	2.1.1.42
R10643	(E)-4-(trimethylammonio)but-2-enoyl-CoA:L-carnitine CoA-transferase	C20748 + C00318 <=> C04114 + C20750	2.8.3.21
R03338	4-Hydroxyphenyllactate:NADP+ oxidoreductase	C03672 + C00006 <=> C01179 + C00005 + C00080	1.1.1.222       1.1.1.237
R03339	(R)-3-(4-hydroxyphenyl)lactate:NADP+ 2-oxidoreductase	C03964 + C00006 <=> C01179 + C00005 + C00080	1.1.1.222
R03448	1,8-Diazacyclotetradecane-2,9-dione lactamhydrolase	C04277 + C00001 <=> C01255	3.5.2.12
R06129	UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol beta-1,4-N-acetylmannosaminyltransferase	G11112 + C01289 <=> G00177 + G10619	2.4.1.187
R03444	(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase	C01251 <=> C04002 + C00001	4.2.1.114       4.2.1.-
R06125	GDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase	G11108 + C00092 <=> G09795 + G10620	2.4.1.36
R06126	L-serine:NADP+ 3-oxidoreductase	C00065 + C00006 <=> C11822 + C00005 + C00080	1.1.1.276
R06127	GDP-mannose:glycolipid 1,2-alpha-D-mannosyltransferase	G00005 + G10614 <=> G10526 + G10620	2.4.1.131
R06120	geranyldiphosphate diphosphate lyase [(+)-(R)-limonene-forming]	C00341 <=> C06099 + C00013	4.2.3.20
R03441	Kynurenate,acceptor:oxygen oxidoreductase (hydroxylating)	C01717 + C00030 + C00007 <=> C01249 + C00028	1.14.99.2
R03334	Lysolecithin 2,3-acylmutase	C04233 <=> C04230	5.4.1.1
R03443	N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)	C01250 + C00009 + C00006 <=> C04133 + C00005 + C00080	1.2.1.38
R00970	ITP:uridine 5'-phosphotransferase	C00081 + C00299 <=> C00104 + C00105	2.7.1.48
R00973	uracil-5-carboxylate carboxy-lyase (uracil-forming)	C03030 <=> C00106 + C00011	4.1.1.66
R00975	5,6-Dihydrouracil:oxygen oxidoreductase	C00429 + C00007 <=> C00106 + C00027	1.3.3.7
R00974	Cytosine aminohydrolase	C00380 + C00001 <=> C00106 + C00014	3.5.4.1
R00977	5,6-dihydrouracil:NAD+ oxidoreductase	C00429 + C00003 <=> C00106 + C00004 + C00080	1.3.1.1
R00976	uracil:acceptor oxidoreductase	C00106 + C00028 + C00001 <=> C00813 + C00030	1.17.99.4
R10825	very-long-chain acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating)	C20876 + C00083 <=> C20877 + C00011 + C00010	2.3.1.199
R00978	5,6-Dihydrouracil:NADP+ oxidoreductase	C00429 + C00006 <=> C00106 + C00005 + C00080	1.3.1.2
R01096	D-galactose:NADP+ 1-oxidoreductase	C00124 + C00006 <=> C02669 + C00005 + C00080	1.1.1.48        1.1.1.120       1.1.1.359       1.1.1.360
R01091	(2S)-alpha-leucine 2,3-aminomutase	C00123 <=> C02486	5.4.3.7
R01090	L-Leucine:2-oxoglutarate aminotransferase	C00123 + C00026 <=> C00233 + C00025	2.6.1.6         2.6.1.42        2.6.1.67
R04874		C03277 <=> C05130 + C00011	
R04875		C05565 + C00001 <=> C05829	
R04876		C03277 + C00004 + C00080 <=> C05568 + C00003	
R04877		C05570 <=> C05571 + C00565	
R04870	L-2-aminohexanedioate:L-cysteine:L-valine ligase (AMP-forming, valine-inverting)	C00956 + C00183 + C00097 + 3 C00002 + C00001 <=> C05556 + 3 C00020 + 3 C00013	6.3.2.26
R01093	galactitol:NAD+ 1-oxidoreductase	C00124 + C00004 + C00080 <=> C01697 + C00003	1.1.1.21
R04872		C05556 + C00007 <=> C05557 + 2 C00001	1.21.3.1
R01092	ATP:alpha-D-galactose 1-phosphotransferase	C00002 + C00984 <=> C00008 + C00446	2.7.1.6
R04878		C05570 <=> C05575	
R04879		C16674 + C00001 <=> C16673	
R10823	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (GTP)	C00044 + C00039(n) + C02128(m) <=> C00144 + C00013 + C00039(n+m)	6.5.1.7
R10820	3-(methylthio)propanoate:CoA ligase (AMP-forming)	C00002 + C08276 + C00010 <=> C00020 + C00013 + C20870	6.2.1.44
R08024		C16423 <=> C09789	
R09714	terpentedienyl-diphosphate lyase (decyclizing)	C00353 <=> C19815	5.5.1.15
R08029		C09827 <=> C16419	
R10821	(R)-pantoate:beta-alanine ligase (ADP-forming)	C00002 + C00522 + C00099 <=> C00008 + C00009 + C00864	6.3.2.44
R02465	Hyaluronate lyase	C00518 <=> n C04794	4.2.2.1
R08028		C09826 <=> C16418	
R05479		C06640 <=> C06643	
R02464	Sphinganine-1-phosphate pamlmitaldehyde-lyase	C01120 <=> C00346 + C00517	4.1.2.27
R05477		C06638 + C00001 <=> C06639 + C01327	
R05476		C04623 <=> C06636 + C00698	
R05475		C04596 + C00007 <=> C06644	
R05474		C06646 <=> C03077	
R05473		C06641 <=> C03077	
R02467	Cysteamine:oxygen oxidoreductase	C01678 + C00007 <=> C00519	1.13.11.19
R05471	clavulanate:NADP+ oxidoreductase	C06661 + C00005 + C00080 <=> C06662 + C00006	
R05470		C06660 <=> C06661	
R02466	3-sulfino-L-alanine carboxy-lyase	C00606 <=> C00519 + C00011	4.1.1.15        4.1.1.29
R02461	D-ornithine 4,5-aminomutase	C00515 <=> C03943	5.4.3.5
R10123	acyl-[acyl-carrier protein],reduced-flavodoxin:oxygen oxidoreductase (pimeloyl-[acyl-carrier protein] forming)	C20683 + 2 C02745 + 3 C00007 <=> C19845 + C15596 + 2 C02869 + 3 C00001	1.14.15.12
R06821	malonyl-CoA:flavone-7-O-beta-D-glucoside 6''-O-malonyltransferase	C04608 + C00083 <=> C10020 + C00010	2.3.1.115
R10121	3-hydroxypimeloyl-[acp]-methyl-ester hydro-lyase	C20377 <=> C20378 + C00001	4.2.1.59
R10120	3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase	C20376 + C00005 + C00080 <=> C20377 + C00006	1.1.1.100
R10127	biotin:NADP+ S-oxidoreductase (biotin S-oxide-forming)	C20386 + C00005 + C00080 <=> C00120 + C00006 + C00001	1.-.-.-
R02463	hexadecanal:NADP+ delta2-oxidoreductase	C00517 + C00006 <=> C06123 + C00005 + C00080	1.3.1.27
R10125		C09849 + C00003 <=> C09848 + C00004 + C00080	1.1.1.-
R06820	UDP-L-rhamnose:flavanone-7-O-glucoside 2''-O-alpha-L-rhamnosyltransferase	C09099 + C02199 <=> C09789 + C00015	2.4.1.236
R10129	(-)-secoisolariciresinol:NAD+ oxidoreductase	C18167 + 2 C00003 <=> C10682 + 2 C00004 + 2 C00080	1.1.1.331
R10128	chanoclavine-I:NAD+ oxidoreductase	C09131 + C00003 <=> C20379 + C00004 + C00080	1.1.1.332
R06823		C01460 <=> C12628	
R06825		C01477 <=> C01714	
R07201	phenylacetone,NADPH:oxygen oxidoreductase	C15512 + C00005 + C00080 + C00007 <=> C15513 + C00006 + C00001	1.14.13.92
R03859	3-Hydroxytetradecane-1,3,4-tricarboxylate 2-oxoglutarate-lyase (CoA-acylating)	C04529 + C00010 <=> C01832 + C00001 + C00026	2.3.3.4
R03858	Lauroyl-CoA:acetyl-CoA C-acyltransferase	C01832 + C00024 <=> C00010 + C05261	2.3.1.16
R06829	UDP-L-rhamnose:luteolin-7-O-beta-D-glucoside 2''-O-alpha-L-rhamnosyltransferase	C03951 + C02199 <=> C12630 + C00015	2.4.1.236
R06828	UDP-glucuronate:luteolin-7-O-beta-D-diglucuronide 4'-O-glucuronosyltransferase	C12632 + C00167 <=> C04900 + C00015	2.4.1.191
R08601	N-Acetyl-9-O-acetylneuraminate 9-O-acetylhydrolase	C04017 + C00001 <=> C00270 + C00033	3.1.1.53
R10385	5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein methyltransferase	C06020 + C18802 <=> C06021 + C18799	2.1.1.245
R03678	(3Z)-phytochromobilin:ferredoxin oxidoreductase	C05913 + 2 C00139 <=> C00500 + 2 C00138	1.3.7.4
R10383		C20546 + 2 C00235 <=> C20595 + 2 C00013	
R01209	2,3-Dihydroxy-3-methylbutanoate hydro-lyase	C04039 <=> C00141 + C00001	4.2.1.9
R01758	L-Arabitol:NAD+ 1-oxidoreductase	C00532 + C00003 <=> C00259 + C00004 + C00080	1.1.1.21
R01759	L-Arabitol:NADP+ 1-oxidoreductase	C00532 + C00006 <=> C00259 + C00005 + C00080	1.1.1.21
R01204	Acetyl-CoA:D-glucosamine N-acetyltransferase	C00024 + C00329 <=> C00010 + C00140	2.3.1.3
R01757	L-arabinose:NAD+ 1-oxidoreductase	C00259 + C00003 <=> C01114 + C00004 + C00080	1.1.1.46        1.1.1.376
R01754	ATP:L-arabinose 1-phosphotransferase	C00002 + C00259 <=> C00008 + C03906	2.7.1.46
R01207	N-acetyl-D-glucosamine 2-epimerase	C00140 <=> C00645	5.1.3.8
R01752	D-Glyceraldehyde:NAD+ oxidoreductase	C00577 + C00003 + C00001 <=> C00258 + C00004 + C00080	1.2.1.3
R01201	ATP:N-acetyl-D-glucosamine 6-phosphotransferase	C00002 + C00140 <=> C00008 + C00357	2.7.1.59
R01202	N-acetyl-D-glucosamine:NAD+ 1-oxidoreductase	C20328 + C00003 + C00001 <=> C01133 + C00004 + C00080	1.1.1.240
R01203	N-acetyl-D-glucosamine:oxygen 1-oxidoreductase	C00140 + C00007 + C00001 <=> C01133 + C00027	1.1.3.29
R08605	N-hydroxyl-tryptamine oxidoreductase	C17203 <=> C02937	2.5.1.-
R05048	2,5-diaminopyrimidine nucleoside triphosphate mutase	C05923 <=> C06148	3.5.4.16
R05049	N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase	C05932 + C00003 + C00001 <=> C05931 + C00004 + C00080	1.2.1.71
R05046	formamidopyrimidine nucleoside triphosphate amidohydrolase	C05922 + C00001 <=> C05923 + C00058	3.5.4.16
R05044		C05918 <=> C05920	
R05045		C05919 <=> C05920	
R05043		C05918 <=> C05919	
R05040		C05786 + C00028 <=> C05913 + C00030 + 2 C00080	
R05041		C05914 <=> C05915	
R09932	(S)-benzoin:NADP+ oxidoreductase	C20227 + C00006 <=> C20226 + C00005 + C00080	1.1.1.320
R09933	(R)-benzoin:NADP+ oxidoreductase	C20228 + C00006 <=> C20226 + C00005 + C00080	1.1.1.321
R09930	eugenol:NADP+ oxidoreductase (coniferyl ester reducing)	C10453 + C00060 + C00006 <=> C20224 + C00005 + C00080	1.1.1.318
R09931	eugenol:NADP+ oxidoreductase (coniferyl acetate reducing)	C10469 + C00033 + C00006 <=> C20225 + C00005 + C00080	1.1.1.319
R09936	uracil,FMNH2:oxygen oxidoreductase (uracil hydroxylating, ring-opening)	C00106 + C01847 + C00007 <=> C20231 + C00061	1.14.99.46
R09937	thymine,FMNH2:oxygen oxidoreductase (thymine hydroxylating, ring-opening)	C00178 + C01847 + C00007 <=> C20232 + C00061	1.14.99.46
R09934	alpha-humulene,NADPH:oxygen 10-oxidoreductase	C09684 + C00007 + C00005 + C00080 <=> C20229 + C00006 + C00001	1.14.13.150
R09935	(+)-sabinene,NADPH:oxygen oxidoreductase (3-hydroxylating)	C20230 + C00005 + C00080 + C00007 <=> C02213 + C00006 + C00001	1.14.13.153
R09938	lupanine:cytochrome c-oxidoreductase (17-hydroxylating)	C10772 + 2 C00125 + C00001 <=> C20233 + 2 C00126 + 2 C00080	1.17.2.2
R09939	S-adenosyl-L-methionine:5-carbamimidamido-2-oxopentanoate 3-methyltransferase	C00019 + C03771 <=> C00021 + C20234	2.1.1.243
R07513	17-O-acetylajmaline O-acetylhydrolase	C15985 + C00001 <=> C06542 + C00033	3.1.1.80
R09367		C05684 + 4 C00051 + 2 C00080 <=> C18870 + C00127 + 3 C00001	
R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)	C00083 <=> C00024 + C00011	4.1.1.9
R00230	acetyl-CoA:phosphate acetyltransferase	C00024 + C00009 <=> C00010 + C00227	2.3.1.8
R09364	(2S,3S)-3-hydroxyarginine hydrolyase (cyclizing, (2S,3R)-capreomycidine-forming)	C18473 <=> C18472 + C00001	4.2.1.145
R00236	acetyl adenylate:CoA acetyltransferase	C05993 + C00010 <=> C00020 + C00024	6.2.1.1
R09362		C18823 <=> C18822	
R00234	Acetyl-CoA:peptide Nalpha-acetyltransferase	C00024 + C00012 <=> C00010 + C03011	2.3.1.88
R00235	Acetate:CoA ligase (AMP-forming)	C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024	6.2.1.1
R06469	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, beta-amyrin-forming)	C01054 <=> C08616	5.4.99.39
R01323	Acetyl-CoA:citrate CoA-transferase	C00024 + C00158 <=> C00033 + C00566	2.8.3.10
R06461	dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:narbonolide 3-dimethylamino-4,6-dideoxy-alpha-D-glucosyltransferase	C11997 + C11911 <=> C11998 + C00363	2.4.1.277
R06460	dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:10-deoxymethynolide 3-dimethylamino-4,6-dideoxy-alpha-D-glucosyltransferase	C11993 + C11911 <=> C11994 + C00363	2.4.1.277
R06463	10-deoxymethymycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	C11994 + C00005 + C00007 <=> C11996 + C00006 + C00001	1.14.13.185
R06462	10-deoxymethymycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	C11994 + C00005 + C00007 <=> C11995 + C00006 + C00001	1.14.13.185
R06465		C11969 + C00005 + C00007 <=> C11970 + C00006 + C00001	1.14.-.-
R06464	narbomycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	C11998 + C00005 + C00080 + C00007 <=> C11999 + C00006 + C00001	1.14.13.185
R06467		C11977 + C00005 + C00007 <=> C11978 + C00006 + C00001	1.14.-.-
R06466	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, lupeol-forming)	C01054 <=> C08628	5.4.99.41
R01320	S-adenosyl-L-methionine:phosphatidyl-N-dimethylethanolamine N-methyltransferase	C00019 + C04308 <=> C00021 + C00157	2.1.1.16        2.1.1.71
R01327	ITP:D-mannose 6-phosphotransferase	C00081 + C00159 <=> C00104 + C00275	2.7.1.1
R01326	ATP:D-mannose 6-phosphotransferase	C00002 + C00159 <=> C00008 + C00275	2.7.1.1         2.7.1.7
R00401	alanine racemase	C00041 <=> C00133	5.1.1.1
R00400	L-alanine:oxaloacetate aminotransferase	C00041 + C00036 <=> C00022 + C00049	2.6.1.12
R00402	succinate:NAD+ oxidoreductase	C00042 + C00003 <=> C00122 + C00004 + C00080	1.3.1.6
R00405	Succinate:CoA ligase (ADP-forming)	C00002 + C00042 + C00010 <=> C00008 + C00009 + C00091	6.2.1.5
R00159	UTP phosphohydrolase	C00075 + C00001 <=> C00015 + C00009	3.6.1.5         3.6.1.39
R00158	ATP:UMP phosphotransferase	C00002 + C00105 <=> C00008 + C00015	2.7.4.4         2.7.4.14        2.7.4.22
R00157	Uridine triphosphate:AMP phosphotransferase;	C00075 + C00020 <=> C00015 + C00008	2.7.4.10
R00408	succinate:FAD oxidoreductase	C00042 + C00016 <=> C01352 + C00122	
R00155	UDP phosphohydrolase	C00015 + C00001 <=> C00105 + C00009	3.6.1.5         3.6.1.6
R01324	citrate hydroxymutase	C00158 <=> C00311	4.2.1.3
R00153	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	C05361 + 2 C05359 + 2 C00080 <=> 2 C00014	1.18.6.1
R00152	hydrogen cyanide aminohydrolase	C01326 + 2 C00001 <=> C00014 + C00058	3.5.5.-
R00150	ATP:carbamate phosphotransferase	C00002 + C00014 + C00011 <=> C00008 + C00169	2.7.2.2
R04311	1-Acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase	C03372 + C00339 <=> C03715 + C03129	2.5.1.26
R04310	3alpha-Hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific)	C04373 + C00006 <=> C03772 + C00005 + C00080	1.1.1.50
R04313		C03793 + 2 C00017 <=> C05546 + 2 C00001	3.4.-.-
R04312	Pyrophosphate:microsomal-membrane-protein O-phosphotransferase	C00013 + C03788 <=> C00009 + C04391	2.7.99.1
R04315	2'-Deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase	C04283 + C00343 + C00001 <=> C03802 + C00342	1.17.4.2
R04314	DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase	C04250 + C02743 <=> C03800 + C11475	2.1.1.63
R04317	S-Methyl-3-phospho-1-thio-D-glycerate phosphohydrolase	C04399 + C00001 <=> C03804 + C00009	3.1.3.14
R04316	Acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase	C00024 + C03803 <=> C00010 + C04341	2.3.1.128
R04319	trans-2,3-didehydroacyl-CoA:NADP+ 4-oxidoreductase	C00658 + C00006 <=> C04512 + C00005 + C00080	1.3.1.34
R04318		C16672 <=> C05551 + C00001	3.5.2.6
R07754	malonyl-CoA:pterocarpan-7-O-beta-D-glucoside 6''-O-malonyltransferase	C10538 + C00083 <=> C16231 + C00010	2.3.1.115
R07755		C16231 <=> C10538	
R07756		C10538 <=> C10502	
R07757	malonyl-CoA:isoflavone-7-O-beta-D-glucoside 6''-O-malonyltransferase	C09126 + C00083 <=> C16192 + C00010	2.3.1.115
R07750	S-adenosyl-L-methionine:(+)-6a-hydroxymaackiain 3-O-methyltransferase	C16230 + C00019 <=> C10516 + C00021	2.1.1.270
R07751	(-)-sophorol:NADP+ oxidoreductase	C16226 + C00005 + C00080 <=> C16228 + C00006	1.3.1.45
R07752	(-)-maackiain:NADP+ 2'-oxidoreductase	C16228 + C00005 + C00080 <=> C10502 + C00006 + C00001	
R07753	UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase	C10502 + C00029 <=> C10538 + C00015	2.4.1.170
R07758		C00083 + C00154 <=> C16216 + C00010 + C00011	2.3.1.199
R07759		C16216 + C00005 + C00080 <=> C16217 + C00006	1.1.1.330
R03835	S-Adenosyl-L-methionine:(S)-scoclaurine 9-O-methyltransferase	C00019 + C02106 <=> C00021 + C04118	2.1.1.117
R03834	(S)-scoulerine, NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)	C05174 + C00006 + 2 C00001 <=> C02106 + C00007 + C00005 + C00080	1.14.21.2
R06805	UDP-glucose:flavonol-3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside 2'''-O-beta-D-glucosyltransferase	C12634 + C00029 <=> C12635 + C00015	2.4.1.240
R03836		C02110 <=> C05917	
R03831	(S)-Reticuline:oxygen oxidoreductase (methylene-bridge-forming)	C02105 + C00007 <=> C02106 + C00027	1.21.3.3
R03830	(S)-2-haloacid halidohydrolase	C02103 + C00001 <=> C02489 + C00462	3.8.1.2         3.8.1.10
R03833		C02105 + C00028 <=> C06167 + C00030	1.5.-.-
R03832	S-Adenosyl-L-methionine:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase	C00019 + C05202 <=> C00021 + C02105 + C00080	2.1.1.116
R03838	Acyl-CoA:2-acylglycerol O-acyltransferase	C00605 + C02112 <=> C00010 + C00641	2.3.1.22
R06809	3'-phosphoadenylyl-sulfate:quercetin-3,3'-bissulfate 7-sulfotransferase	C01156 + C00053 <=> C03898 + C00054	2.8.2.28
R06808	UDP-alpha-D-galactose:kaempferol 3-O-beta-D-galactosyltransferase	C05903 + C00052 <=> C12626 + C00015	2.4.1.234
R09756	versicolorone:NADP+ oxidoreductase	C20504 + C00006 <=> C20503 + C00005 + C00080	1.1.1.353
R09757	UDP-glucose:crocetin 8-O-D-glucosyltransferase	C00029 + C08588 <=> C00015 + C19867	2.4.1.271
R09754	UDP-rhamnose:soyasaponin III rhamnosyltransferase	C02199 + C19865 <=> C00015 + C08983	2.4.1.273
R09755	UDP-alpha-D-galactose:N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide 4-beta-D-galactosyltransferase	C00052 + C04845 <=> C00015 + C04922	2.4.1.275
R09752	GDP:alpha-D-glucose 1-phosphate guanylyltransferase	C00394 + C00009 <=> C00103 + C00035	2.7.7.78
